POCO,OPERADOR,ESTADO,BACIA,CAMPO,TERRA_MAR,CATEGORIA,SITUACAO,CONCLUSAO,TITULARIDADE
9-AR-84-BA,Petrobras,BA,Recôncavo,ARAÇÁS,T,Especial,ABANDONADO POR LOGÍSTICA EXPLORATÓRIA,11/10/69 0:00,Público
7-JND-55D-BA,Petrobras,BA,Recôncavo,JANDAIA,T,Desenvolvimento,ABANDONADO PERMANENTEMENTE,9/14/09 0:00,Público
7-AR-321D-BA,Petrobras,BA,Recôncavo,ARAÇÁS,T,Desenvolvimento,ABANDONADO PERMANENTEMENTE,10/26/09 0:00,Público
7-FBE-13D-BA,Petrobras,BA,Recôncavo,ARAÇÁS,T,Desenvolvimento,ABANDONADO PERMANENTEMENTE,1/4/70 0:00,Público
9-AR-85-BA,Petrobras,BA,Recôncavo,ARAÇÁS,T,Especial,ABANDONADO POR LOGÍSTICA EXPLORATÓRIA,12/1/69 0:00,Público
9-AR-86-BA,Petrobras,BA,Recôncavo,ARAÇÁS,T,Especial,ABANDONADO POR LOGÍSTICA EXPLORATÓRIA,12/16/69 0:00,Público
7-JND-51DP-BA,Petrobras,BA,Recôncavo,JANDAIA,T,Desenvolvimento,ABANDONADO PERMANENTEMENTE,10/2/09 0:00,Público
7-JND-53D-BA,Petrobras,BA,Recôncavo,JANDAIA,T,Desenvolvimento,ABANDONADO PERMANENTEMENTE,11/22/09 0:00,Público
3-MUI-10-BA,Petrobras,BA,Recôncavo,MASSUÍ,T,Extensão,DEVOLVIDO,2/14/70 0:00,Público
7-I-49-BA,Petrobras,BA,Recôncavo,ITAPARICA ,T,Desenvolvimento,ARRASADO,7/31/76 0:00,Público
7-AG-273-BA,Petrobras,BA,Recôncavo,ÁGUA GRANDE,T,Desenvolvimento,ABANDONADO PERMANENTEMENTE,8/14/76 0:00,Público
7-GO-7-BA,Petrobras,BA,Recôncavo,BONSUCESSO,T,Desenvolvimento,ARRASADO,9/3/76 0:00,Público
